Topic,Words
43,"0.067*""the"" + 0.024*""to"" + 0.023*""and"" + 0.019*""of"" + 0.014*""was"" + 0.014*""it"" + 0.013*""in"" + 0.012*""you"" + 0.011*""my"" + 0.010*""me"" + 0.009*""that"" + 0.009*""on"" + 0.008*""he"" + 0.008*""said"" + 0.007*""had"" + 0.007*""at"" + 0.007*""but"" + 0.007*""his"" + 0.007*""we"" + 0.007*""they"""
35,"0.068*""angie"" + 0.048*""the"" + 0.035*""said"" + 0.028*""her"" + 0.023*""of"" + 0.019*""you"" + 0.016*""to"" + 0.015*""it"" + 0.014*""she"" + 0.014*""fat"" + 0.012*""in"" + 0.012*""and"" + 0.012*""not"" + 0.011*""jamboree"" + 0.011*""was"" + 0.011*""kc"" + 0.010*""zeke"" + 0.009*""wang"" + 0.008*""that"" + 0.007*""had"""
85,"0.064*""the"" + 0.027*""to"" + 0.024*""of"" + 0.021*""and"" + 0.016*""in"" + 0.015*""my"" + 0.014*""her"" + 0.013*""it"" + 0.012*""she"" + 0.011*""that"" + 0.011*""on"" + 0.008*""me"" + 0.008*""with"" + 0.007*""for"" + 0.007*""we"" + 0.006*""as"" + 0.006*""you"" + 0.006*""but"" + 0.006*""quinn"" + 0.006*""out"""
26,"0.039*""the"" + 0.031*""to"" + 0.027*""and"" + 0.018*""you"" + 0.018*""it"" + 0.017*""she"" + 0.016*""was"" + 0.015*""of"" + 0.013*""her"" + 0.013*""that"" + 0.011*""in"" + 0.009*""said"" + 0.008*""but"" + 0.008*""for"" + 0.008*""on"" + 0.007*""me"" + 0.007*""at"" + 0.007*""we"" + 0.006*""with"" + 0.006*""my"""
96,"0.053*""jeg"" + 0.039*""og"" + 0.035*""pa"" + 0.033*""at"" + 0.024*""det"" + 0.023*""mig"" + 0.018*""til"" + 0.017*""var"" + 0.016*""han"" + 0.015*""en"" + 0.013*""med"" + 0.012*""af"" + 0.012*""hun"" + 0.012*""for"" + 0.011*""ikke"" + 0.011*""min"" + 0.011*""havde"" + 0.010*""et"" + 0.010*""om"" + 0.010*""som"""
94,"0.038*""and"" + 0.032*""the"" + 0.024*""you"" + 0.022*""to"" + 0.017*""he"" + 0.013*""that"" + 0.013*""in"" + 0.012*""it"" + 0.011*""was"" + 0.010*""me"" + 0.010*""got"" + 0.009*""of"" + 0.009*""on"" + 0.009*""she"" + 0.008*""up"" + 0.008*""all"" + 0.008*""daddy"" + 0.007*""but"" + 0.007*""mama"" + 0.007*""they"""
5,"0.000*""moni"" + 0.000*""mozzies"" + 0.000*""mudimbe"" + 0.000*""mullion"" + 0.000*""multinationals"" + 0.000*""mumsy"" + 0.000*""mwah"" + 0.000*""mzzzzzzzzz"" + 0.000*""nasdaq"" + 0.000*""nationaltheatre"" + 0.000*""nawi"" + 0.000*""negress"" + 0.000*""negresses"" + 0.000*""nenet"" + 0.000*""nicety"" + 0.000*""nigerians"" + 0.000*""nightwear"" + 0.000*""mohammedans"" + 0.000*""moto"" + 0.000*""montserrat"""
77,"0.041*""the"" + 0.033*""and"" + 0.030*""to"" + 0.019*""you"" + 0.018*""of"" + 0.016*""that"" + 0.015*""was"" + 0.014*""it"" + 0.013*""her"" + 0.012*""me"" + 0.011*""my"" + 0.011*""he"" + 0.011*""she"" + 0.009*""said"" + 0.009*""in"" + 0.008*""with"" + 0.007*""his"" + 0.006*""at"" + 0.006*""as"" + 0.006*""but"""
54,"0.000*""moni"" + 0.000*""mozzies"" + 0.000*""mudimbe"" + 0.000*""mullion"" + 0.000*""multinationals"" + 0.000*""mumsy"" + 0.000*""mwah"" + 0.000*""mzzzzzzzzz"" + 0.000*""nasdaq"" + 0.000*""nationaltheatre"" + 0.000*""nawi"" + 0.000*""negress"" + 0.000*""negresses"" + 0.000*""nenet"" + 0.000*""nicety"" + 0.000*""nigerians"" + 0.000*""nightwear"" + 0.000*""mohammedans"" + 0.000*""moto"" + 0.000*""montserrat"""
69,"0.000*""moni"" + 0.000*""mozzies"" + 0.000*""mudimbe"" + 0.000*""mullion"" + 0.000*""multinationals"" + 0.000*""mumsy"" + 0.000*""mwah"" + 0.000*""mzzzzzzzzz"" + 0.000*""nasdaq"" + 0.000*""nationaltheatre"" + 0.000*""nawi"" + 0.000*""negress"" + 0.000*""negresses"" + 0.000*""nenet"" + 0.000*""nicety"" + 0.000*""nigerians"" + 0.000*""nightwear"" + 0.000*""mohammedans"" + 0.000*""moto"" + 0.000*""montserrat"""
