,Word 1,Word 2,Similarity
0,sex,sex,1.0
1,sex,gender,0.5477298
2,sex,race,0.31200677
3,sex,identity,0.40279028
4,sex,person,0.35168517
5,sex,child,0.24448617
6,sex,corrupt,0.18966962
7,sex,sin,0.24279901
8,sex,innocence,0.088239565
9,sex,love,0.3170152
10,sex,romance,0.38089946
11,sex,lips,0.13891551
12,sex,hands,0.18536551
13,gender,sex,0.5477298
14,gender,gender,1.0
15,gender,race,0.4840267
16,gender,identity,0.8118497
17,gender,person,0.31042558
18,gender,child,0.29926354
19,gender,corrupt,0.20440146
20,gender,sin,0.226996
21,gender,innocence,0.20719434
22,gender,love,0.19318052
23,gender,romance,0.2519253
24,gender,lips,0.13707021
25,gender,hands,0.13487059
26,race,sex,0.31200677
27,race,gender,0.4840267
28,race,race,1.0
29,race,identity,0.46152955
30,race,person,0.27844012
31,race,child,0.27568728
32,race,corrupt,0.2633981
33,race,sin,0.21746327
34,race,innocence,0.1658586
35,race,love,0.1896845
36,race,romance,0.17636392
37,race,lips,0.06449044
38,race,hands,0.1786671
39,identity,sex,0.40279028
40,identity,gender,0.8118497
41,identity,race,0.46152955
42,identity,identity,1.0
43,identity,person,0.28475875
44,identity,child,0.33132607
45,identity,corrupt,0.17600656
46,identity,sin,0.17493193
47,identity,innocence,0.3262167
48,identity,love,0.22453623
49,identity,romance,0.26614866
50,identity,lips,0.14967379
51,identity,hands,0.13664156
52,person,sex,0.35168517
53,person,gender,0.31042558
54,person,race,0.27844012
55,person,identity,0.28475875
56,person,person,1.0
57,person,child,0.420434
58,person,corrupt,0.23102301
59,person,sin,0.16372733
60,person,innocence,0.14987738
61,person,love,0.2878636
62,person,romance,0.22179016
63,person,lips,0.12916824
64,person,hands,0.15646726
65,child,sex,0.24448617
66,child,gender,0.29926354
67,child,race,0.27568728
68,child,identity,0.33132607
69,child,person,0.420434
70,child,child,1.0
71,child,corrupt,0.30142468
72,child,sin,0.21901113
73,child,innocence,0.3240267
74,child,love,0.23953544
75,child,romance,0.21269907
76,child,lips,0.19932464
77,child,hands,0.2672778
78,corrupt,sex,0.18966962
79,corrupt,gender,0.20440146
80,corrupt,race,0.2633981
81,corrupt,identity,0.17600656
82,corrupt,person,0.23102301
83,corrupt,child,0.30142468
84,corrupt,corrupt,1.0
85,corrupt,sin,0.25983286
86,corrupt,innocence,0.3145147
87,corrupt,love,0.30203798
88,corrupt,romance,0.30346936
89,corrupt,lips,0.16825894
90,corrupt,hands,0.19966047
91,sin,sex,0.24279901
92,sin,gender,0.226996
93,sin,race,0.21746327
94,sin,identity,0.17493193
95,sin,person,0.16372733
96,sin,child,0.21901113
97,sin,corrupt,0.25983286
98,sin,sin,1.0
99,sin,innocence,0.14071932
100,sin,love,0.19330636
101,sin,romance,0.097642824
102,sin,lips,0.1472592
103,sin,hands,0.10809025
104,innocence,sex,0.088239565
105,innocence,gender,0.20719434
106,innocence,race,0.1658586
107,innocence,identity,0.3262167
108,innocence,person,0.14987738
109,innocence,child,0.3240267
110,innocence,corrupt,0.3145147
111,innocence,sin,0.14071932
112,innocence,innocence,0.99999994
113,innocence,love,0.28529203
114,innocence,romance,0.30116338
115,innocence,lips,0.2616495
116,innocence,hands,0.2680087
117,love,sex,0.3170152
118,love,gender,0.19318052
119,love,race,0.1896845
120,love,identity,0.22453623
121,love,person,0.2878636
122,love,child,0.23953544
123,love,corrupt,0.30203798
124,love,sin,0.19330636
125,love,innocence,0.28529203
126,love,love,1.0
127,love,romance,0.44187057
128,love,lips,0.15354604
129,love,hands,0.23827995
130,romance,sex,0.38089946
131,romance,gender,0.2519253
132,romance,race,0.17636392
133,romance,identity,0.26614866
134,romance,person,0.22179016
135,romance,child,0.21269907
136,romance,corrupt,0.30346936
137,romance,sin,0.097642824
138,romance,innocence,0.30116338
139,romance,love,0.44187057
140,romance,romance,1.0
141,romance,lips,0.22666709
142,romance,hands,0.2236605
143,lips,sex,0.13891551
144,lips,gender,0.13707021
145,lips,race,0.06449044
146,lips,identity,0.14967379
147,lips,person,0.12916824
148,lips,child,0.19932464
149,lips,corrupt,0.16825894
150,lips,sin,0.1472592
151,lips,innocence,0.2616495
152,lips,love,0.15354604
153,lips,romance,0.22666709
154,lips,lips,1.0
155,lips,hands,0.4048034
156,hands,sex,0.18536551
157,hands,gender,0.13487059
158,hands,race,0.1786671
159,hands,identity,0.13664156
160,hands,person,0.15646726
161,hands,child,0.2672778
162,hands,corrupt,0.19966047
163,hands,sin,0.10809025
164,hands,innocence,0.2680087
165,hands,love,0.23827995
166,hands,romance,0.2236605
167,hands,lips,0.4048034
168,hands,hands,1.0
