,Word 1,Word 2,Similarity
0,sex,sex,1.0
1,sex,gender,0.52924156
2,sex,race,0.34163606
3,sex,identity,0.401618
4,sex,person,0.33270535
5,sex,child,0.30435756
6,sex,corrupt,0.23239762
7,sex,sin,0.25361368
8,sex,innocence,0.13186267
9,sex,love,0.31469053
10,sex,romance,0.34194595
11,sex,lips,0.1841799
12,sex,hands,0.225642
13,gender,sex,0.52924156
14,gender,gender,1.0
15,gender,race,0.49179468
16,gender,identity,0.80128527
17,gender,person,0.36020076
18,gender,child,0.27001652
19,gender,corrupt,0.2076084
20,gender,sin,0.16664618
21,gender,innocence,0.23554258
22,gender,love,0.21690741
23,gender,romance,0.26074347
24,gender,lips,0.19173686
25,gender,hands,0.12094664
26,race,sex,0.34163606
27,race,gender,0.49179468
28,race,race,1.0
29,race,identity,0.44655946
30,race,person,0.27118042
31,race,child,0.24596514
32,race,corrupt,0.23805012
33,race,sin,0.11528455
34,race,innocence,0.1929379
35,race,love,0.17875071
36,race,romance,0.17280394
37,race,lips,0.09542822
38,race,hands,0.17708033
39,identity,sex,0.401618
40,identity,gender,0.80128527
41,identity,race,0.44655946
42,identity,identity,1.0
43,identity,person,0.32523644
44,identity,child,0.3163157
45,identity,corrupt,0.21223557
46,identity,sin,0.17205614
47,identity,innocence,0.36558565
48,identity,love,0.25993893
49,identity,romance,0.2801908
50,identity,lips,0.1870662
51,identity,hands,0.12913676
52,person,sex,0.33270535
53,person,gender,0.36020076
54,person,race,0.27118042
55,person,identity,0.32523644
56,person,person,1.0
57,person,child,0.4679141
58,person,corrupt,0.24022537
59,person,sin,0.18008935
60,person,innocence,0.21138781
61,person,love,0.2800523
62,person,romance,0.20885694
63,person,lips,0.1759712
64,person,hands,0.16817515
65,child,sex,0.30435756
66,child,gender,0.27001652
67,child,race,0.24596514
68,child,identity,0.3163157
69,child,person,0.4679141
70,child,child,1.0
71,child,corrupt,0.28003043
72,child,sin,0.18573529
73,child,innocence,0.40328524
74,child,love,0.24810325
75,child,romance,0.17650487
76,child,lips,0.14741895
77,child,hands,0.26750112
78,corrupt,sex,0.23239762
79,corrupt,gender,0.2076084
80,corrupt,race,0.23805012
81,corrupt,identity,0.21223557
82,corrupt,person,0.24022537
83,corrupt,child,0.28003043
84,corrupt,corrupt,1.0
85,corrupt,sin,0.30529323
86,corrupt,innocence,0.3075726
87,corrupt,love,0.24499083
88,corrupt,romance,0.26625684
89,corrupt,lips,0.2194344
90,corrupt,hands,0.20904113
91,sin,sex,0.25361368
92,sin,gender,0.16664618
93,sin,race,0.11528455
94,sin,identity,0.17205614
95,sin,person,0.18008935
96,sin,child,0.18573529
97,sin,corrupt,0.30529323
98,sin,sin,1.0
99,sin,innocence,0.16669862
100,sin,love,0.26979107
101,sin,romance,0.057066195
102,sin,lips,0.13396399
103,sin,hands,0.08698158
104,innocence,sex,0.13186267
105,innocence,gender,0.23554258
106,innocence,race,0.1929379
107,innocence,identity,0.36558565
108,innocence,person,0.21138781
109,innocence,child,0.40328524
110,innocence,corrupt,0.3075726
111,innocence,sin,0.16669862
112,innocence,innocence,1.0
113,innocence,love,0.2619772
114,innocence,romance,0.286408
115,innocence,lips,0.23163547
116,innocence,hands,0.24403286
117,love,sex,0.31469053
118,love,gender,0.21690741
119,love,race,0.17875071
120,love,identity,0.25993893
121,love,person,0.2800523
122,love,child,0.24810325
123,love,corrupt,0.24499083
124,love,sin,0.26979107
125,love,innocence,0.2619772
126,love,love,1.0
127,love,romance,0.4485056
128,love,lips,0.16998854
129,love,hands,0.21005613
130,romance,sex,0.34194595
131,romance,gender,0.26074347
132,romance,race,0.17280394
133,romance,identity,0.2801908
134,romance,person,0.20885694
135,romance,child,0.17650487
136,romance,corrupt,0.26625684
137,romance,sin,0.057066195
138,romance,innocence,0.286408
139,romance,love,0.4485056
140,romance,romance,1.0
141,romance,lips,0.2288968
142,romance,hands,0.14146331
143,lips,sex,0.1841799
144,lips,gender,0.19173686
145,lips,race,0.09542822
146,lips,identity,0.1870662
147,lips,person,0.1759712
148,lips,child,0.14741895
149,lips,corrupt,0.2194344
150,lips,sin,0.13396399
151,lips,innocence,0.23163547
152,lips,love,0.16998854
153,lips,romance,0.2288968
154,lips,lips,1.0
155,lips,hands,0.50899315
156,hands,sex,0.225642
157,hands,gender,0.12094664
158,hands,race,0.17708033
159,hands,identity,0.12913676
160,hands,person,0.16817515
161,hands,child,0.26750112
162,hands,corrupt,0.20904113
163,hands,sin,0.08698158
164,hands,innocence,0.24403286
165,hands,love,0.21005613
166,hands,romance,0.14146331
167,hands,lips,0.50899315
168,hands,hands,0.99999994
